playerID,playerName,G,SB,CS
merriwh01,Whit Merrifield,158,45,10
turnetr01,Trea Turner,162,43,9
smithma05,Mallex Smith,141,40,12
ramirjo01,Jose Ramirez,157,34,6
hamilbi02,Billy Hamilton,153,34,10
martest01,Starling Marte,145,33,14
mondera02,Adalberto Mondesi,75,32,7
bettsmo01,Mookie Betts,136,30,6
cainlo01,Lorenzo Cain,141,30,7
gordode01,Dee Gordon,141,30,12
inciaen01,Ender Inciarte,156,28,14
storytr01,Trevor Story,157,27,6
anderti01,Tim Anderson,153,26,8
lindofr01,Francisco Lindor,158,25,10
jankotr01,Travis Jankowski,117,24,7
rosaram01,Amed Rosario,154,24,11
taylomi02,Michael Taylor,134,24,6
troutmi01,Mike Trout,140,24,2
perazjo01,Jose Peraza,157,23,6
yelicch01,Christian Yelich,147,22,4
villajo01,Jonathan Villar,54,21,3
baezja01,Javier Baez,160,21,9
beninan01,Andrew Benintendi,148,21,3
allengr01,Greg Allen,91,21,4
davisra01,Rajai Davis,101,21,7
deshide02,Delino DeShields,106,20,4
desmoia01,Ian Desmond,160,20,6
segurje01,Jean Segura,144,20,11
